CaseNum,Status_Short,Date,Status,Generated_at,Desc
2290010796,0-Received,"October 27, 2021",Fingerprint Fee Was Received,20211118-081423,"On October 27, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290010796. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290010796,1-Fingerprint-taken,"January 11, 2022",Fingerprints Taken,20220215-163816,"As of January 11, 2022, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290010796, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2290011290,0-Received,"October 28, 2021",Fingerprint Fee Was Received,20211118-081423,"On October 28, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290011290. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290011290,0-Received,"February 15, 2022",Case Was Transferred,20220215-163816,"On February 15, 2022, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290011290, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by March 17, 2022, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290011752,0-Received,"October 29, 2021",Fingerprint Fee Was Received,20211118-081423,"On October 29, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290011752. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290011755,0-Received,"October 25, 2021",Case Was Received,20211118-081423,"On October 25, 2021, we received your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290011755, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290011758,0-Received,"October 29, 2021",Fingerprint Fee Was Received,20211118-081423,"On October 29, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290011758. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290013074,0-Received,"November 2, 2021",Fingerprint Fee Was Received,20211118-081423,"On November 2, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290013074. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290013074,0-Received,"November 22, 2021",Case Was Transferred,20220215-163816,"On November 22, 2021, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290013074, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by December 22, 2021, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290013077,0-Received,"November 2, 2021",Fingerprint Fee Was Received,20211118-081423,"On November 2, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290013077. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290013077,0-Received,"November 22, 2021",Case Was Transferred,20220215-163816,"On November 22, 2021, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290013077, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by December 22, 2021, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290013080,0-Received,"November 2, 2021",Fingerprint Fee Was Received,20211118-081423,"On November 2, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290013080. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290013080,0-Received,"November 22, 2021",Case Was Transferred,20220215-163816,"On November 22, 2021, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290013080, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by December 22, 2021, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290013649,8-Rejected,"November 3, 2021",Rejected-Improperly Filed,20211118-081423,"On November 3, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290013649, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290014322,0-Received,"November 4, 2021",Fingerprint Fee Was Received,20211118-081423,"On November 4, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290014322. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290014322,1-Fingerprint-taken,"January 21, 2022",Fingerprints Taken,20220215-163816,"As of January 21, 2022, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290014322, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2290014325,0-Received,"November 4, 2021",Fingerprint Fee Was Received,20211118-081423,"On November 4, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290014325. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290014325,1-Fingerprint-taken,"January 21, 2022",Fingerprints Taken,20220215-163816,"As of January 21, 2022, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290014325, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2290014328,0-Received,"November 4, 2021",Fingerprint Fee Was Received,20211118-081423,"On November 4, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290014328. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290014328,1-Fingerprint-taken,"January 21, 2022",Fingerprints Taken,20220215-163816,"As of January 21, 2022, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290014328, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2290014368,0-Received,"November 5, 2021",Fingerprint Fee Was Received,20211118-081423,"On November 5, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290014368. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290014374,0-Received,"November 5, 2021",Fingerprint Fee Was Received,20211118-081423,"On November 5, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290014374. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290014377,0-Received,"November 5, 2021",Fingerprint Fee Was Received,20211118-081423,"On November 5, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290014377. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290014592,0-Received,"November 5, 2021",Fingerprint Fee Was Received,20211118-081423,"On November 5, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290014592. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290014592,2b-Expedite,"February 2, 2022",Expedite Request Denied,20220215-163816,"On February 2, 2022, we denied your request for expedited processing of your I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290014592.  We do not believe, based on a review of your request, that your case meets one or more of the expedite criteria and otherwise merits expedited processing. We review all expedite requests on a case-by-case basis, and we grant them at the discretion of the director.  Information regarding the USCIS expedite policy, including the expedite criteria, is available at www.uscis.gov/forms/expedite-criteria.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290015278,8-Rejected,"November 8, 2021",Rejected-Improperly Filed,20211118-091306,"On November 8, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290015278, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290016222,0-Received,"November 10, 2021",Fingerprint Fee Was Received,20211118-091306,"On November 10, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290016222. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290016410,8-Rejected,"November 10, 2021",Rejected-Improperly Filed,20211118-091306,"On November 10, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290016410, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290018011,8-Rejected,"November 16, 2021",Rejected-Improperly Filed,20211118-091306,"On November 16, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290018011, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290018014,8-Rejected,"November 16, 2021",Rejected-Improperly Filed,20211118-091306,"On November 16, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290018014, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290018959,0-Received,"November 17, 2021",Fingerprint Fee Was Received,20211118-091306,"On November 17, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290018959. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290018962,0-Received,"November 17, 2021",Fingerprint Fee Was Received,20211118-091306,"On November 17, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290018962. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290019061,0-Received,"November 18, 2021",Fingerprint Fee Was Received,20211118-091306,"On November 18, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290019061. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290019061,0-Received,"December 16, 2021",Case Was Transferred,20220215-163816,"On December 16, 2021, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290019061, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by January 15, 2022, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290019061,1-Fingerprint-taken,"March 9, 2022",Fingerprints Taken,20220310-101441,"As of March 9, 2022, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290019061, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2290019064,0-Received,"November 18, 2021",Fingerprint Fee Was Received,20211118-091306,"On November 18, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290019064. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290019064,0-Received,"December 16, 2021",Case Was Transferred,20220215-163816,"On December 16, 2021, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290019064, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by January 15, 2022, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290022006,8-Rejected,"November 25, 2021",Rejected-Improperly Filed,20211204-090219,"On November 25, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290022006, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290022009,8-Rejected,"November 25, 2021",Rejected-Improperly Filed,20211204-090219,"On November 25, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290022009, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290024081,8-Rejected,"December 1, 2021",Rejected-Improperly Filed,20211204-090219,"On December 1, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290024081, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290024816,8-Rejected,"December 3, 2021",Rejected-Improperly Filed,20211213-075459,"On December 3, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290024816, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290026068,8-Rejected,"December 7, 2021",Rejected-Improperly Filed,20211213-075459,"On December 7, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026068, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290026617,8-Rejected,"December 8, 2021",Rejected-Improperly Filed,20211213-075459,"On December 8, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026617, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290026620,8-Rejected,"December 8, 2021",Rejected-Improperly Filed,20211213-075459,"On December 8, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026620, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290026624,8-Rejected,"December 8, 2021",Rejected-Improperly Filed,20211213-075459,"On December 8, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026624, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290026774,0-Received,"December 8, 2021",Fingerprint Fee Was Received,20211213-075459,"On December 8, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026774. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290026774,1-Fingerprint-taken,"February 1, 2022",Fingerprints Taken,20220215-163816,"As of February 1, 2022, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026774, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2290026794,0-Received,"December 8, 2021",Fingerprint Fee Was Received,20211213-075459,"On December 8, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026794. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290026794,1-Fingerprint-taken,"February 1, 2022",Fingerprints Taken,20220215-163816,"As of February 1, 2022, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026794, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2290026797,0-Received,"December 8, 2021",Fingerprint Fee Was Received,20211213-075459,"On December 8, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026797. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290026797,1-Fingerprint-taken,"February 1, 2022",Fingerprints Taken,20220215-163816,"As of February 1, 2022, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026797, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2290026800,0-Received,"December 8, 2021",Fingerprint Fee Was Received,20211213-075459,"On December 8, 2021, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026800. Our California Service Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2290026800,1-Fingerprint-taken,"February 1, 2022",Fingerprints Taken,20220215-163816,"As of February 1, 2022, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026800, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2290026803,8-Rejected,"December 8, 2021",Rejected-Improperly Filed,20211213-075459,"On December 8, 2021, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2290026803, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
